image_1,image_2,,
Stimuli/gambling/blackjack_casino.jpg,Stimuli/non_gambling/blackjacks_course.jpg,,
Stimuli/gambling/greyhounds.jpg,Stimuli/non_gambling/wolves.jpg,,
Stimuli/gambling/horse_racing_1.jpg,Stimuli/non_gambling/horses_stable.jpg,,
Stimuli/gambling/horse_racing_2.jpg,Stimuli/non_gambling/horses running.jpg,,
Stimuli/gambling/lottery_ticket.jpg,Stimuli/non_gambling/bus-timetable.gif,,
Stimuli/gambling/lotto_balls.jpg,Stimuli/non_gambling/cricket balls.jpg,,
Stimuli/gambling/poker_chips_cards.jpg,Stimuli/non_gambling/notebook and pencils.jpg,,
Stimuli/gambling/poker_chips.jpg,Stimuli/non_gambling/batteries.jpg,,
Stimuli/gambling/roulette_table.jpg,Stimuli/non_gambling/football pitch.jpg,,
Stimuli/gambling/roulette_wheel.jpg,Stimuli/non_gambling/ship steering wheel.jpg,,
Stimuli/gambling/tvliveodds.png,Stimuli/non_gambling/weather.png,,
Stimuli/gambling/bettingagencylogo_1.jpg,Stimuli/non_gambling/ukraine flag.jpg,,
Stimuli/gambling/bettingagencylogo_2.jpg,Stimuli/non_gambling/black_blue.jpg,,
Stimuli/gambling/scratchie_2.gif,Stimuli/non_gambling/chalkboard.jpeg,,
Stimuli/gambling/tabticket.gif,Stimuli/non_gambling/notebook 2.jpeg,,
Stimuli/neutral/Fish.jpg,Stimuli/neutral/Island.jpg,,
