image_1,image_2,task
freeviewing/gambling/blackjack_casino.jpg,freeviewing/non_gambling/blackjacks_course.jpg,gambling
freeviewing/gambling/greyhounds.jpg,freeviewing/non_gambling/wolves.jpg,gambling
freeviewing/gambling/horse_racing_1.jpg,freeviewing/non_gambling/horses_stable.jpg,gambling
freeviewing/gambling/horse_racing_2.jpg,freeviewing/non_gambling/horses running.jpg,gambling
freeviewing/gambling/lottery_ticket.jpg,freeviewing/non_gambling/bus-timetable.gif,gambling
freeviewing/gambling/lotto_balls.png,freeviewing/non_gambling/cricket balls.jpg,gambling
freeviewing/gambling/poker_chips_cards.jpg,freeviewing/non_gambling/notebook and pencils.jpg,gambling
freeviewing/gambling/poker_chips.jpg,freeviewing/non_gambling/batteries.jpg,gambling
freeviewing/gambling/roulette_table.jpg,freeviewing/non_gambling/football pitch.jpg,gambling
freeviewing/gambling/roulette_wheel.jpg,freeviewing/non_gambling/ship steering wheel.jpg,gambling
freeviewing/gambling/tvliveodds.png,freeviewing/non_gambling/weather.png,gambling
freeviewing/gambling/bettingagencylogo_1.jpg,freeviewing/non_gambling/ukraine flag.jpg,gambling
freeviewing/gambling/bettingagencylogo_2.jpg,freeviewing/non_gambling/black_blue.jpg,gambling
freeviewing/gambling/scratchie_2.gif,freeviewing/non_gambling/chalkboard.jpeg,gambling
freeviewing/gambling/tabticket.gif,freeviewing/non_gambling/notebook 2.jpeg,gambling
freeviewing/gambling/scratchie_1.jpg,freeviewing/non_gambling/butterfly.png,gambling
freeviewing/gambling/pokies_1.jpg,freeviewing/non_gambling/supermarket shelf.jpg,gambling
freeviewing/gambling/pokies_2.png,freeviewing/non_gambling/drinks.jpg,gambling
freeviewing/gambling/pokies_3.jpg,freeviewing/non_gambling/arcade.jpg,gambling
freeviewing/gambling/cards.jpg,freeviewing/non_gambling/notebooks.jpg,gambling
